OrderId,ItemName,PricePerUnit,Qty,Date,CustId
O001,Laptop,1200.00,1,2024-01-15,C001
O002,Mouse,25.50,2,2024-01-15,C001
O003,Keyboard,75.00,1,2024-01-16,C001
O004,Monitor,300.00,1,2024-01-15,C002
O005,USB Cable,10.00,5,2024-01-16,C002
O006,Headphones,85.00,1,2024-01-17,C003
O007,Webcam,120.00,1,2024-01-17,C003
O008,Desk Lamp,45.00,2,2024-01-18,C004
O009,Office Chair,250.00,1,2024-01-18,C004
O010,Notebook,5.00,10,2024-01-19,C005
O011,Pen Set,15.00,3,2024-01-19,C005
O012,External HDD,150.00,1,2024-01-20,C006
O013,SSD Drive,200.00,1,2024-01-20,C006
O014,Graphics Card,500.00,1,2024-01-21,C007
O015,RAM Module,80.00,2,2024-01-21,C007
O016,Power Supply,100.00,1,2024-01-22,C008
O017,Cooling Fan,30.00,3,2024-01-22,C008
O018,Motherboard,220.00,1,2024-01-23,C009
O019,CPU Processor,350.00,1,2024-01-23,C009
O020,Monitor Stand,40.00,1,2024-01-24,C010
