OrderId,ItemName,PricePerUnit,Qty,Date,CustId
O001,Laptop,999.99,2,2024-01-15,C001
O002,Mouse,25.50,5,2024-01-15,C001
O003,Keyboard,75.00,3,2024-01-16,C002
O004,Monitor,299.99,1,2024-01-16,C002
O005,Headset,89.99,2,2024-01-17,C003
O006,Webcam,129.99,1,2024-01-17,C003
O007,USB Cable,15.99,10,2024-01-18,C004
O008,HDMI Cable,22.50,5,2024-01-18,C004
O009,Desk Lamp,45.00,2,2024-01-19,C005
O010,Chair,299.00,1,2024-01-19,C005
O011,Desk,499.99,1,2024-01-20,C006
O012,Notebook,12.99,20,2024-01-20,C006
O013,Pen Set,8.99,15,2024-01-21,C007
O014,Stapler,14.99,3,2024-01-21,C007
O015,Paper Ream,25.00,5,2024-01-22,C008
O016,Printer,399.99,1,2024-01-22,C008
O017,Scanner,249.99,1,2024-01-23,C009
O018,Shredder,89.99,1,2024-01-23,C009
O019,Calculator,19.99,4,2024-01-24,C010
O020,Whiteboard,79.99,2,2024-01-24,C010
