OrderId,ItemName,PricePerUnit,Qty,Date,CustId
O001,Laptop,1200.00,1,2024-01-15,C001
O002,Mouse,25.50,2,2024-01-16,C001
O003,Keyboard,75.00,1,2024-01-16,C002
O004,Monitor,350.00,2,2024-01-17,C003
O005,Headphones,89.99,1,2024-01-18,C002
O006,Webcam,120.00,1,2024-01-18,C004
O007,USB Cable,15.99,3,2024-01-19,C005
O008,Desk Lamp,45.00,1,2024-01-19,C001
O009,Chair,299.99,1,2024-01-20,C006
O010,Desk,499.99,1,2024-01-20,C007
O011,Notebook,12.50,5,2024-01-21,C008
O012,Pen Set,8.99,2,2024-01-21,C009
O013,Tablet,599.00,1,2024-01-22,C010
O014,Phone Case,29.99,1,2024-01-22,C003
O015,Screen Protector,19.99,2,2024-01-23,C005
