OrderId,ItemName,PricePerUnit,Qty,Date,CustId
O001,Laptop,999.99,1,2024-01-15,C001
O002,Mouse,25.50,2,2024-01-16,C001
O003,Keyboard,75.00,1,2024-01-17,C002
O004,Monitor,299.99,2,2024-01-18,C003
O005,Headphones,150.00,1,2024-01-19,C004
O006,Webcam,89.99,1,2024-01-20,C005
O007,Null,45.00,3,2024-01-21,C006
O008,USB Cable,12.99,5,2024-01-22,Null
O009,Desk Lamp,35.00,2,2024-01-23,C008
O010,Notebook,8.99,10,2024-01-24,C009
O011,Pen Set,15.50,4,2024-01-25,C010
O012,Laptop,999.99,1,2024-01-26,C001
O013,Monitor,299.99,1,2024-01-27,C002
